,city,number,update_time
155,cq, 12358 ,2018-06-08
156,bj, 40670 ,2018-06-08
157,sz, 25492 ,2018-06-08
158,sh, 74507 ,2018-06-08
159,hz, 11550 ,2018-06-08
160,gz, 21155 ,2018-06-08
161,cd, 42338 ,2018-06-09
162,cq, 12419 ,2018-06-09
163,bj, 40841 ,2018-06-09
164,sz, 25485 ,2018-06-09
165,sh, 74607 ,2018-06-09
166,hz, 11585 ,2018-06-09
167,gz, 21146 ,2018-06-09
168,cd, 42469 ,2018-06-10
169,cq, 12427 ,2018-06-10
170,bj, 40796 ,2018-06-10
171,sz, 25405 ,2018-06-10
172,sh, 74765 ,2018-06-10
173,hz, 11522 ,2018-06-10
174,gz, 21152 ,2018-06-10
175,cd, 42216 ,2018-06-11
176,cq, 12387 ,2018-06-11
177,bj, 40756 ,2018-06-11
178,sz, 25382 ,2018-06-11
179,sh, 74588 ,2018-06-11
180,hz, 11437 ,2018-06-11
181,gz, 21152 ,2018-06-11
182,cd, 42737 ,2018-06-12
183,cq, 12566 ,2018-06-12
184,bj, 40565 ,2018-06-12
185,sz, 25032 ,2018-06-12
186,sh, 74744 ,2018-06-12
187,hz, 11437 ,2018-06-12
188,gz, 21202 ,2018-06-12
189,cd, 42877 ,2018-06-13
190,cq, 12603 ,2018-06-13
191,bj, 40518 ,2018-06-13
192,sz, 25133 ,2018-06-13
193,sh, 74536 ,2018-06-13
194,hz, 11425 ,2018-06-13
195,gz, 21205 ,2018-06-13
196,cd, 43149 ,2018-06-14
197,cq, 12665 ,2018-06-14
198,bj, 40600 ,2018-06-14
199,sz, 25098 ,2018-06-14
200,sh, 74386 ,2018-06-14
201,hz, 11483 ,2018-06-14
202,gz, 21241 ,2018-06-14
203,cd, 43250 ,2018-06-15
204,cq, 12727 ,2018-06-15
205,bj, 40627 ,2018-06-15
206,sz, 25007 ,2018-06-15
207,sh, 74245 ,2018-06-15
208,hz, 11481 ,2018-06-15
209,gz, 21254 ,2018-06-15
210,cd, 43380 ,2018-06-16
211,cq, 12790 ,2018-06-16
212,bj, 40881 ,2018-06-16
213,sz, 25089 ,2018-06-16
214,sh, 73866 ,2018-06-16
215,hz, 11562 ,2018-06-16
216,gz, 21319 ,2018-06-16
217,cd, 43571 ,2018-06-17
218,cq, 12842 ,2018-06-17
219,bj, 40815 ,2018-06-17
220,sz, 25058 ,2018-06-17
221,sh, 74011 ,2018-06-17
222,hz, 11529 ,2018-06-17
223,gz, 21415 ,2018-06-17
224,cd, 43480 ,2018-06-18
225,cq, 12867 ,2018-06-18
