,city,number,update_time
1886,cs, 8430 ,2019-01-29
1887,cd, 72213 ,2019-01-30
1888,cq, 51124 ,2019-01-30
1889,bj, 52198 ,2019-01-30
1890,sz, 37277 ,2019-01-30
1891,sh, 49182 ,2019-01-30
1892,hz, 28215 ,2019-01-30
1893,gz, 33226 ,2019-01-30
1894,wh, 61180 ,2019-01-30
1895,cs, 8438 ,2019-01-30
1896,cd, 72204 ,2019-01-31
1897,cq, 51129 ,2019-01-31
1898,bj, 52167 ,2019-01-31
1899,sz, 37284 ,2019-01-31
1900,sh, 49175 ,2019-01-31
1901,hz, 28216 ,2019-01-31
1902,gz, 33226 ,2019-01-31
1903,wh, 61177 ,2019-01-31
1904,cs, 8438 ,2019-01-31
1905,cd, 72176 ,2019-02-01
1906,cq, 51081 ,2019-02-01
1907,bj, 52422 ,2019-02-01
1908,sz, 36913 ,2019-02-01
1909,sh, 49128 ,2019-02-01
1910,hz, 28182 ,2019-02-01
1911,gz, 33013 ,2019-02-01
1912,wh, 61038 ,2019-02-01
1913,cs, 8433 ,2019-02-01
1914,cd, 72091 ,2019-02-02
1915,cq, 50821 ,2019-02-02
1916,bj, 52296 ,2019-02-02
1917,sz, 36066 ,2019-02-02
1918,sh, 48946 ,2019-02-02
1919,hz, 28076 ,2019-02-02
1920,gz, 32762 ,2019-02-02
1921,wh, 60846 ,2019-02-02
1922,cs, 8426 ,2019-02-02
1923,cd, 71951 ,2019-02-06
1924,cq, 50252 ,2019-02-06
1925,bj, 52135 ,2019-02-06
1926,sz, 33780 ,2019-02-06
1927,sh, 47833 ,2019-02-06
1928,hz, 27919 ,2019-02-06
1929,gz, 30929 ,2019-02-06
1930,wh, 60211 ,2019-02-06
1931,cs, 8398 ,2019-02-06
1932,cd, 71952 ,2019-02-07
1933,cq, 50255 ,2019-02-07
1934,bj, 52134 ,2019-02-07
1935,sz, 33781 ,2019-02-07
1936,sh, 47836 ,2019-02-07
1937,hz, 27919 ,2019-02-07
1938,gz, 30930 ,2019-02-07
1939,wh, 60208 ,2019-02-07
1940,cs, 8398 ,2019-02-07
1941,cd, 71460 ,2019-02-10
1942,cq, 47629 ,2019-02-10
1943,bj, 51834 ,2019-02-10
1944,sz, 29071 ,2019-02-10
1945,sh, 46129 ,2019-02-10
1946,hz, 27373 ,2019-02-10
1947,gz, 28775 ,2019-02-10
1948,wh, 58271 ,2019-02-10
1949,cs, 8156 ,2019-02-10
1950,cd, 71472 ,2019-02-11
1951,cq, 47672 ,2019-02-11
1952,bj, 51833 ,2019-02-11
1953,sz, 29157 ,2019-02-11
1954,sh, 46161 ,2019-02-11
1955,hz, 27376 ,2019-02-11
1956,gz, 28818 ,2019-02-11
1957,wh, 58329 ,2019-02-11
1958,cs, 8161 ,2019-02-11
1959,cd, 71582 ,2019-02-12
1960,cq, 49053 ,2019-02-12
1961,bj, 51879 ,2019-02-12
1962,sz, 31153 ,2019-02-12
1963,sh, 47864 ,2019-02-12
1964,hz, 27425 ,2019-02-12
1965,gz, 30635 ,2019-02-12
1966,wh, 58663 ,2019-02-12
1967,cs, 8052 ,2019-02-12
1968,cd, 71925 ,2019-02-13
1969,cq, 50468 ,2019-02-13
1970,bj, 52262 ,2019-02-13
1971,sz, 32907 ,2019-02-13
1972,sh, 48904 ,2019-02-13
1973,hz, 27609 ,2019-02-13
1974,gz, 32063 ,2019-02-13
1975,wh, 59455 ,2019-02-13
1976,cs, 8257 ,2019-02-13
1977,cd, 72077 ,2019-02-14
1978,cq, 50912 ,2019-02-14
1979,bj, 52470 ,2019-02-14
1980,sz, 33662 ,2019-02-14
1981,sh, 49076 ,2019-02-14
1982,hz, 27668 ,2019-02-14
1983,gz, 32712 ,2019-02-14
1984,wh, 59864 ,2019-02-14
1985,cs, 8319 ,2019-02-14
1986,cd, 72319 ,2019-02-15
1987,cq, 51395 ,2019-02-15
1988,bj, 52740 ,2019-02-15
1989,sz, 34578 ,2019-02-15
1990,sh, 49416 ,2019-02-15
1991,hz, 27752 ,2019-02-15
1992,gz, 33128 ,2019-02-15
1993,wh, 60232 ,2019-02-15
1994,cs, 8358 ,2019-02-15
1995,cd, 73115 ,2019-02-18
1996,cq, 52682 ,2019-02-18
1997,bj, 53236 ,2019-02-18
1998,sz, 35801 ,2019-02-18
1999,sh, 50487 ,2019-02-18
2000,hz, 28193 ,2019-02-18
2001,gz, 33947 ,2019-02-18
2002,wh, 61515 ,2019-02-18
2003,cs, 10272 ,2019-02-18
2004,cd, 73303 ,2019-02-19
2005,cq, 52990 ,2019-02-19
2006,bj, 53396 ,2019-02-19
2007,sz, 35959 ,2019-02-19
2008,sh, 50654 ,2019-02-19
2009,hz, 28349 ,2019-02-19
2010,gz, 34071 ,2019-02-19
2011,wh, 62075 ,2019-02-19
2012,cs, 10344 ,2019-02-19
2013,cd, 73364 ,2019-02-20
2014,cq, 53235 ,2019-02-20
2015,bj, 53374 ,2019-02-20
2016,sz, 36002 ,2019-02-20
2017,sh, 50663 ,2019-02-20
2018,hz, 28502 ,2019-02-20
2019,gz, 34119 ,2019-02-20
2020,wh, 62268 ,2019-02-20
2021,cs, 10403 ,2019-02-20
2022,cd, 74281 ,2019-02-22
2023,cq, 55107 ,2019-02-22
2024,bj, 54734 ,2019-02-22
2025,sz, 37538 ,2019-02-22
2026,sh, 51932 ,2019-02-22
2027,hz, 28977 ,2019-02-22
2028,gz, 35064 ,2019-02-22
2029,wh, 64613 ,2019-02-22
2030,cs, 10566 ,2019-02-22
2031,cd, 74262 ,2019-02-23
2032,cq, 55102 ,2019-02-23
2033,bj, 54705 ,2019-02-23
2034,sz, 37580 ,2019-02-23
2035,sh, 51904 ,2019-02-23
2036,hz, 28973 ,2019-02-23
2037,gz, 35070 ,2019-02-23
2038,wh, 64620 ,2019-02-23
2039,cs, 10566 ,2019-02-23
2040,cd, 74471 ,2019-02-24
2041,cq, 55375 ,2019-02-24
2042,bj, 54723 ,2019-02-24
2043,sz, 37671 ,2019-02-24
2044,sh, 51991 ,2019-02-24
2045,hz, 29029 ,2019-02-24
2046,gz, 35129 ,2019-02-24
2047,wh, 64961 ,2019-02-24
2048,cs, 10598 ,2019-02-24
2049,cd, 74565 ,2019-02-25
2050,cq, 55629 ,2019-02-25
2051,bj, 54558 ,2019-02-25
2052,sz, 37295 ,2019-02-25
2053,sh, 51905 ,2019-02-25
2054,hz, 29135 ,2019-02-25
2055,gz, 35187 ,2019-02-25
2056,wh, 65347 ,2019-02-25
2057,cs, 10628 ,2019-02-25
2058,cd, 74636 ,2019-02-26
2059,cq, 55611 ,2019-02-26
2060,bj, 54652 ,2019-02-26
2061,sz, 37149 ,2019-02-26
2062,sh, 52063 ,2019-02-26
2063,hz, 29186 ,2019-02-26
2064,gz, 35109 ,2019-02-26
2065,wh, 65727 ,2019-02-26
2066,cs, 10689 ,2019-02-26
2067,cd, 74738 ,2019-02-27
2068,cq, 55885 ,2019-02-27
2069,bj, 54750 ,2019-02-27
2070,sz, 37073 ,2019-02-27
2071,sh, 51963 ,2019-02-27
2072,hz, 29264 ,2019-02-27
2073,gz, 35358 ,2019-02-27
2074,wh, 66078 ,2019-02-27
2075,cs, 10683 ,2019-02-27
2076,cd, 74934 ,2019-02-28
2077,cq, 56117 ,2019-02-28
2078,bj, 55117 ,2019-02-28
2079,sz, 37214 ,2019-02-28
2080,sh, 52215 ,2019-02-28
2081,hz, 29377 ,2019-02-28
2082,gz, 35333 ,2019-02-28
2083,wh, 66154 ,2019-02-28
2084,cs, 10768 ,2019-02-28
2085,cd, 75170 ,2019-03-01
2086,cq, 56771 ,2019-03-01
2087,bj, 55458 ,2019-03-01
2088,sz, 37559 ,2019-03-01
2089,sh, 52489 ,2019-03-01
2090,hz, 29417 ,2019-03-01
2091,gz, 35640 ,2019-03-01
2092,wh, 66455 ,2019-03-01
2093,cs, 10823 ,2019-03-01
2094,cd, 75420 ,2019-03-02
2095,cq, 57010 ,2019-03-02
2096,bj, 55697 ,2019-03-02
2097,sz, 37858 ,2019-03-02
2098,sh, 53070 ,2019-03-02
2099,hz, 29478 ,2019-03-02
2100,gz, 35866 ,2019-03-02
2101,wh, 66701 ,2019-03-02
2102,cs, 10899 ,2019-03-02
2103,cd, 75356 ,2019-03-03
2104,cq, 57280 ,2019-03-03
2105,bj, 55686 ,2019-03-03
2106,sz, 37969 ,2019-03-03
2107,sh, 53345 ,2019-03-03
2108,hz, 29556 ,2019-03-03
2109,gz, 35686 ,2019-03-03
2110,wh, 66897 ,2019-03-03
2111,cs, 10846 ,2019-03-03
2112,zz, 53041 ,2019-03-03
2113,lf, 2737 ,2019-03-03
2114,xm, 11630 ,2019-03-03
2115,hf, 43950 ,2019-03-03
2116,nj, 43727 ,2019-03-03
2117,cd, 75060 ,2019-03-04
2118,wh, 66814 ,2019-03-04
2119,cq, 57315 ,2019-03-04
2120,bj, 55544 ,2019-03-04
2121,sz, 37732 ,2019-03-04
2122,sh, 53379 ,2019-03-04
2123,gz, 35476 ,2019-03-04
2124,hz, 29511 ,2019-03-04
2125,lf, 2732 ,2019-03-04
2126,xm, 11580 ,2019-03-04
2127,zz, 53047 ,2019-03-04
2128,hf, 43728 ,2019-03-04
2129,nj, 43589 ,2019-03-04
2130,cs, 10821 ,2019-03-04
2131,cd, 74987 ,2019-03-05
2132,wh, 66987 ,2019-03-05
2133,cq, 57438 ,2019-03-05
2134,bj, 55512 ,2019-03-05
2135,sz, 37484 ,2019-03-05
2136,sh, 53105 ,2019-03-05
2137,gz, 35394 ,2019-03-05
2138,hz, 29626 ,2019-03-05
2139,lf, 2723 ,2019-03-05
2140,xm, 11503 ,2019-03-05
2141,zz, 53247 ,2019-03-05
2142,hf, 43983 ,2019-03-05
2143,nj, 43685 ,2019-03-05
2144,cs, 10919 ,2019-03-05
2145,cd, 75315 ,2019-03-06
2146,wh, 67615 ,2019-03-06
2147,cq, 58333 ,2019-03-06
2148,bj, 55655 ,2019-03-06
2149,sz, 37884 ,2019-03-06
2150,sh, 53088 ,2019-03-06
2151,gz, 35730 ,2019-03-06
2152,hz, 29692 ,2019-03-06
2153,lf, 2727 ,2019-03-06
2154,xm, 11481 ,2019-03-06
2155,zz, 53545 ,2019-03-06
2156,hf, 44174 ,2019-03-06
2157,nj, 43784 ,2019-03-06
2158,cs, 10960 ,2019-03-06
2159,cd, 75637 ,2019-03-07
2160,wh, 67867 ,2019-03-07
2161,cq, 58650 ,2019-03-07
2162,bj, 55974 ,2019-03-07
2163,sz, 37942 ,2019-03-07
2164,sh, 53216 ,2019-03-07
2165,gz, 35943 ,2019-03-07
2166,hz, 29764 ,2019-03-07
2167,lf, 2748 ,2019-03-07
2168,xm, 11502 ,2019-03-07
2169,zz, 53683 ,2019-03-07
2170,hf, 44176 ,2019-03-07
2171,nj, 43870 ,2019-03-07
2172,cs, 11016 ,2019-03-07
2173,cd, 75819 ,2019-03-08
2174,wh, 67975 ,2019-03-08
2175,cq, 58853 ,2019-03-08
2176,bj, 56354 ,2019-03-08
2177,sz, 37953 ,2019-03-08
2178,sh, 53056 ,2019-03-08
2179,gz, 35726 ,2019-03-08
2180,hz, 29863 ,2019-03-08
2181,lf, 2750 ,2019-03-08
2182,xm, 11535 ,2019-03-08
2183,zz, 53853 ,2019-03-08
2184,hf, 44258 ,2019-03-08
2185,nj, 44014 ,2019-03-08
2186,cs, 11009 ,2019-03-08
2187,cd, 76043 ,2019-03-09
2188,wh, 68292 ,2019-03-09
2189,cq, 59160 ,2019-03-09
2190,bj, 56643 ,2019-03-09
2191,sz, 38604 ,2019-03-09
2192,sh, 53391 ,2019-03-09
2193,gz, 36160 ,2019-03-09
2194,hz, 29945 ,2019-03-09
2195,lf, 2772 ,2019-03-09
2196,xm, 11528 ,2019-03-09
2197,zz, 54052 ,2019-03-09
2198,hf, 44406 ,2019-03-09
2199,nj, 44158 ,2019-03-09
2200,cs, 11040 ,2019-03-09
2201,cd, 76181 ,2019-03-10
2202,wh, 68470 ,2019-03-10
2203,cq, 59443 ,2019-03-10
2204,bj, 56521 ,2019-03-10
2205,sz, 38658 ,2019-03-10
2206,sh, 53561 ,2019-03-10
2207,gz, 36199 ,2019-03-10
2208,hz, 30037 ,2019-03-10
2209,lf, 2781 ,2019-03-10
2210,xm, 11518 ,2019-03-10
2211,zz, 54242 ,2019-03-10
2212,hf, 44625 ,2019-03-10
2213,nj, 44296 ,2019-03-10
2214,cs, 11095 ,2019-03-10
2215,cd, 76293 ,2019-03-11
2216,wh, 68593 ,2019-03-11
2217,cq, 59605 ,2019-03-11
2218,bj, 56308 ,2019-03-11
2219,sz, 38078 ,2019-03-11
2220,sh, 53104 ,2019-03-11
2221,gz, 36201 ,2019-03-11
2222,hz, 30056 ,2019-03-11
2223,lf, 2799 ,2019-03-11
2224,xm, 11488 ,2019-03-11
2225,zz, 54449 ,2019-03-11
2226,hf, 44805 ,2019-03-11
2227,nj, 44446 ,2019-03-11
2228,cs, 11156 ,2019-03-11
2229,cd, 76222 ,2019-03-12
2230,wh, 68779 ,2019-03-12
2231,cq, 59714 ,2019-03-12
2232,bj, 56428 ,2019-03-12
2233,sz, 37896 ,2019-03-12
2234,sh, 51533 ,2019-03-12
2235,gz, 36061 ,2019-03-12
2236,hz, 30091 ,2019-03-12
2237,lf, 2819 ,2019-03-12
2238,xm, 11676 ,2019-03-12
2239,zz, 54650 ,2019-03-12
2240,hf, 44993 ,2019-03-12
2241,nj, 44499 ,2019-03-12
2242,cs, 11228 ,2019-03-12
2243,cd, 76481 ,2019-03-13
2244,wh, 69098 ,2019-03-13
2245,cq, 60092 ,2019-03-13
2246,bj, 56389 ,2019-03-13
2247,sz, 38356 ,2019-03-13
2248,sh, 51417 ,2019-03-13
2249,gz, 36387 ,2019-03-13
2250,hz, 30190 ,2019-03-13
2251,lf, 2857 ,2019-03-13
2252,xm, 11648 ,2019-03-13
2253,zz, 54923 ,2019-03-13
2254,hf, 45339 ,2019-03-13
2255,nj, 44670 ,2019-03-13
2256,cs, 11466 ,2019-03-13
2257,cd, 76746 ,2019-03-14
2258,wh, 69199 ,2019-03-14
2259,cq, 60359 ,2019-03-14
2260,bj, 56768 ,2019-03-14
2261,sz, 38461 ,2019-03-14
2262,sh, 51799 ,2019-03-14
2263,gz, 36605 ,2019-03-14
2264,hz, 30312 ,2019-03-14
2265,lf, 2945 ,2019-03-14
2266,xm, 11675 ,2019-03-14
2267,zz, 55039 ,2019-03-14
2268,hf, 45329 ,2019-03-14
2269,nj, 44800 ,2019-03-14
2270,cs, 11507 ,2019-03-14
2271,cd, 76896 ,2019-03-15
2272,wh, 69160 ,2019-03-15
2273,cq, 60601 ,2019-03-15
2274,bj, 57150 ,2019-03-15
2275,sz, 38634 ,2019-03-15
2276,sh, 51228 ,2019-03-15
2277,gz, 36493 ,2019-03-15
2278,hz, 30388 ,2019-03-15
2279,lf, 2965 ,2019-03-15
2280,xm, 11677 ,2019-03-15
2281,zz, 55206 ,2019-03-15
2282,hf, 45413 ,2019-03-15
2283,nj, 44904 ,2019-03-15
2284,cs, 11541 ,2019-03-15
2285,cd, 77375 ,2019-03-18
2286,wh, 69806 ,2019-03-18
2287,cq, 61381 ,2019-03-18
2288,bj, 57432 ,2019-03-18
2289,sz, 38942 ,2019-03-18
2290,sh, 52031 ,2019-03-18
2291,gz, 37245 ,2019-03-18
2292,hz, 30644 ,2019-03-18
2293,lf, 3000 ,2019-03-18
2294,xm, 11506 ,2019-03-18
2295,zz, 55893 ,2019-03-18
2296,hf, 45997 ,2019-03-18
2297,nj, 45357 ,2019-03-18
2298,cs, 11696 ,2019-03-18
2299,cd, 77363 ,2019-03-19
2300,wh, 70059 ,2019-03-19
2301,cq, 61397 ,2019-03-19
2302,bj, 57595 ,2019-03-19
2303,sz, 38772 ,2019-03-19
2304,sh, 52004 ,2019-03-19
2305,gz, 37159 ,2019-03-19
2306,hz, 30738 ,2019-03-19
2307,lf, 3029 ,2019-03-19
2308,xm, 11593 ,2019-03-19
2309,zz, 56103 ,2019-03-19
2310,hf, 46201 ,2019-03-19
2311,nj, 45476 ,2019-03-19
2312,cs, 11743 ,2019-03-19
2313,cd, 77589 ,2019-03-20
2314,wh, 70195 ,2019-03-20
2315,cq, 61550 ,2019-03-20
2316,bj, 57665 ,2019-03-20
2317,sz, 39028 ,2019-03-20
2318,sh, 51799 ,2019-03-20
2319,gz, 37263 ,2019-03-20
2320,hz, 30809 ,2019-03-20
2321,lf, 3048 ,2019-03-20
2322,xm, 11706 ,2019-03-20
2323,zz, 56268 ,2019-03-20
2324,hf, 46375 ,2019-03-20
2325,nj, 45639 ,2019-03-20
2326,cs, 11832 ,2019-03-20
2327,cd, 77822 ,2019-03-21
2328,wh, 70320 ,2019-03-21
2329,cq, 61830 ,2019-03-21
2330,bj, 58085 ,2019-03-21
2331,sz, 39430 ,2019-03-21
2332,sh, 51783 ,2019-03-21
2333,gz, 37306 ,2019-03-21
2334,hz, 30903 ,2019-03-21
2335,lf, 3078 ,2019-03-21
2336,xm, 11774 ,2019-03-21
2337,zz, 56361 ,2019-03-21
2338,hf, 46371 ,2019-03-21
2339,nj, 45733 ,2019-03-21
2340,cs, 11859 ,2019-03-21
2341,cd, 78397 ,2019-03-22
2342,wh, 70593 ,2019-03-22
2343,cq, 62321 ,2019-03-22
2344,bj, 58509 ,2019-03-22
2345,sz, 39511 ,2019-03-22
2346,sh, 52536 ,2019-03-22
2347,gz, 37712 ,2019-03-22
2348,hz, 31073 ,2019-03-22
2349,lf, 3164 ,2019-03-22
2350,xm, 11865 ,2019-03-22
2351,zz, 56654 ,2019-03-22
2352,hf, 46614 ,2019-03-22
2353,nj, 46052 ,2019-03-22
2354,cs, 11891 ,2019-03-22
2355,cd, 78725 ,2019-03-23
2356,wh, 70907 ,2019-03-23
2357,cq, 62588 ,2019-03-23
2358,bj, 58846 ,2019-03-23
2359,sz, 39740 ,2019-03-23
2360,sh, 52957 ,2019-03-23
2361,gz, 37816 ,2019-03-23
2362,hz, 31208 ,2019-03-23
2363,lf, 3236 ,2019-03-23
2364,xm, 11926 ,2019-03-23
2365,zz, 56877 ,2019-03-23
2366,hf, 46766 ,2019-03-23
2367,nj, 46257 ,2019-03-23
2368,cs, 11891 ,2019-03-23
2369,cd, 78895 ,2019-03-24
2370,wh, 71085 ,2019-03-24
2371,cq, 62851 ,2019-03-24
2372,bj, 58847 ,2019-03-24
2373,sz, 39914 ,2019-03-24
2374,sh, 53030 ,2019-03-24
2375,gz, 37986 ,2019-03-24
2376,hz, 31285 ,2019-03-24
2377,lf, 3256 ,2019-03-24
2378,xm, 11944 ,2019-03-24
2379,zz, 57094 ,2019-03-24
2380,hf, 46883 ,2019-03-24
2381,nj, 46374 ,2019-03-24
2382,cs, 11917 ,2019-03-24
2383,cd, 79080 ,2019-03-25
2384,wh, 71311 ,2019-03-25
2385,cq, 63116 ,2019-03-25
2386,bj, 58617 ,2019-03-25
2387,sz, 39507 ,2019-03-25
2388,sh, 53190 ,2019-03-25
2389,gz, 38086 ,2019-03-25
2390,hz, 31433 ,2019-03-25
2391,lf, 3313 ,2019-03-25
2392,xm, 11946 ,2019-03-25
2393,zz, 57341 ,2019-03-25
2394,hf, 47069 ,2019-03-25
2395,nj, 46558 ,2019-03-25
2396,cs, 12007 ,2019-03-25
2397,cd, 79137 ,2019-03-26
2398,wh, 71420 ,2019-03-26
2399,cq, 63214 ,2019-03-26
2400,bj, 58734 ,2019-03-26
2401,sz, 39403 ,2019-03-26
2402,sh, 53432 ,2019-03-26
2403,gz, 38059 ,2019-03-26
2404,hz, 31483 ,2019-03-26
2405,lf, 3341 ,2019-03-26
2406,xm, 11975 ,2019-03-26
2407,zz, 57614 ,2019-03-26
2408,hf, 47311 ,2019-03-26
2409,nj, 46656 ,2019-03-26
2410,cs, 12065 ,2019-03-26
2411,cd, 79377 ,2019-03-27
2412,wh, 71820 ,2019-03-27
2413,cq, 63506 ,2019-03-27
2414,bj, 58745 ,2019-03-27
2415,sz, 39430 ,2019-03-27
2416,sh, 53353 ,2019-03-27
2417,gz, 38082 ,2019-03-27
2418,hz, 31610 ,2019-03-27
2419,lf, 3374 ,2019-03-27
2420,xm, 12018 ,2019-03-27
2421,zz, 57830 ,2019-03-27
2422,hf, 47425 ,2019-03-27
2423,nj, 46761 ,2019-03-27
2424,cs, 8991 ,2019-03-27
2425,cd, 79665 ,2019-03-28
2426,wh, 71968 ,2019-03-28
2427,cq, 63952 ,2019-03-28
2428,bj, 59108 ,2019-03-28
2429,sz, 39373 ,2019-03-28
2430,sh, 53553 ,2019-03-28
2431,gz, 38113 ,2019-03-28
2432,hz, 31784 ,2019-03-28
2433,lf, 3453 ,2019-03-28
2434,xm, 12067 ,2019-03-28
2435,zz, 57957 ,2019-03-28
2436,hf, 47551 ,2019-03-28
2437,nj, 46879 ,2019-03-28
2438,cs, 8973 ,2019-03-28
2439,cd, 79893 ,2019-03-29
2440,wh, 72425 ,2019-03-29
2441,cq, 64289 ,2019-03-29
2442,bj, 59501 ,2019-03-29
2443,sz, 39404 ,2019-03-29
2444,sh, 53705 ,2019-03-29
2445,gz, 40002 ,2019-03-29
2446,hz, 31998 ,2019-03-29
2447,lf, 3498 ,2019-03-29
2448,xm, 12134 ,2019-03-29
2449,zz, 58189 ,2019-03-29
2450,hf, 47758 ,2019-03-29
2451,nj, 47066 ,2019-03-29
2452,cs, 9019 ,2019-03-29
2453,cd, 80406 ,2019-04-01
2454,wh, 73393 ,2019-04-01
2455,cq, 65228 ,2019-04-01
2456,bj, 59752 ,2019-04-01
2457,sz, 39737 ,2019-04-01
2458,sh, 53910 ,2019-04-01
2459,gz, 40237 ,2019-04-01
2460,hz, 32397 ,2019-04-01
2461,lf, 3634 ,2019-04-01
2462,xm, 12262 ,2019-04-01
2463,zz, 58869 ,2019-04-01
2464,hf, 48249 ,2019-04-01
2465,nj, 47667 ,2019-04-01
2466,cs, 9150 ,2019-04-01
2467,cd, 80476 ,2019-04-02
2468,wh, 73610 ,2019-04-02
2469,cq, 65392 ,2019-04-02
2470,bj, 59776 ,2019-04-02
2471,sz, 39849 ,2019-04-02
2472,sh, 54114 ,2019-04-02
2473,gz, 40037 ,2019-04-02
2474,hz, 32459 ,2019-04-02
2475,lf, 3634 ,2019-04-02
2476,xm, 12286 ,2019-04-02
2477,zz, 59032 ,2019-04-02
2478,hf, 48534 ,2019-04-02
2479,nj, 47765 ,2019-04-02
2480,cs, 9198 ,2019-04-02
2481,cd, 80540 ,2019-04-03
2482,wh, 73832 ,2019-04-03
2483,cq, 65685 ,2019-04-03
2484,bj, 59784 ,2019-04-03
2485,sz, 39691 ,2019-04-03
2486,sh, 53978 ,2019-04-03
2487,gz, 40225 ,2019-04-03
2488,hz, 32525 ,2019-04-03
2489,lf, 3670 ,2019-04-03
2490,xm, 12323 ,2019-04-03
2491,zz, 59192 ,2019-04-03
2492,hf, 48682 ,2019-04-03
2493,nj, 47858 ,2019-04-03
2494,cs, 9250 ,2019-04-03
2495,cd, 80391 ,2019-04-04
2496,wh, 73910 ,2019-04-04
2497,cq, 65649 ,2019-04-04
2498,bj, 60143 ,2019-04-04
2499,sz, 40098 ,2019-04-04
2500,sh, 53234 ,2019-04-04
2501,gz, 40170 ,2019-04-04
2502,hz, 32436 ,2019-04-04
2503,lf, 3732 ,2019-04-04
2504,xm, 12389 ,2019-04-04
2505,zz, 59263 ,2019-04-04
2506,hf, 48721 ,2019-04-04
2507,nj, 47878 ,2019-04-04
2508,cs, 7409 ,2019-04-04
2509,cd, 80866 ,2019-04-05
2510,wh, 74345 ,2019-04-05
2511,cq, 66223 ,2019-04-05
2512,bj, 60718 ,2019-04-05
2513,sz, 40522 ,2019-04-05
2514,sh, 53765 ,2019-04-05
2515,gz, 40604 ,2019-04-05
2516,hz, 32664 ,2019-04-05
2517,lf, 3795 ,2019-04-05
2518,xm, 12468 ,2019-04-05
2519,zz, 59666 ,2019-04-05
2520,hf, 49085 ,2019-04-05
2521,nj, 48119 ,2019-04-05
2522,cs, 7426 ,2019-04-05
2523,cd, 81089 ,2019-04-07
2524,wh, 74611 ,2019-04-07
2525,cq, 66672 ,2019-04-07
2526,bj, 60813 ,2019-04-07
2527,sz, 40633 ,2019-04-07
2528,sh, 54286 ,2019-04-07
2529,gz, 40732 ,2019-04-07
2530,hz, 32738 ,2019-04-07
2531,lf, 3898 ,2019-04-07
2532,xm, 12519 ,2019-04-07
2533,zz, 60128 ,2019-04-07
2534,hf, 49495 ,2019-04-07
2535,nj, 48315 ,2019-04-07
2536,cs, 7445 ,2019-04-07
2537,cd, 81047 ,2019-04-08
2538,wh, 74612 ,2019-04-08
2539,cq, 66681 ,2019-04-08
2540,bj, 60752 ,2019-04-08
2541,sz, 40656 ,2019-04-08
2542,sh, 54218 ,2019-04-08
2543,gz, 40762 ,2019-04-08
2544,hz, 32762 ,2019-04-08
2545,lf, 3907 ,2019-04-08
2546,xm, 12523 ,2019-04-08
2547,zz, 60113 ,2019-04-08
2548,hf, 49484 ,2019-04-08
2549,nj, 48330 ,2019-04-08
2550,cs, 7447 ,2019-04-08
2551,cd, 80994 ,2019-04-09
2552,wh, 74628 ,2019-04-09
2553,cq, 66419 ,2019-04-09
2554,bj, 60775 ,2019-04-09
2555,sz, 39979 ,2019-04-09
2556,sh, 53943 ,2019-04-09
2557,gz, 40508 ,2019-04-09
2558,hz, 32824 ,2019-04-09
2559,lf, 3995 ,2019-04-09
2560,xm, 12530 ,2019-04-09
2561,zz, 60234 ,2019-04-09
2562,hf, 49666 ,2019-04-09
2563,nj, 48441 ,2019-04-09
2564,cs, 7487 ,2019-04-09
2565,cd, 81268 ,2019-04-10
2566,wh, 75022 ,2019-04-10
2567,cq, 66945 ,2019-04-10
2568,bj, 60795 ,2019-04-10
2569,sz, 40199 ,2019-04-10
2570,sh, 53757 ,2019-04-10
2571,gz, 40769 ,2019-04-10
2572,hz, 32850 ,2019-04-10
2573,lf, 4002 ,2019-04-10
2574,xm, 12622 ,2019-04-10
2575,zz, 60392 ,2019-04-10
2576,hf, 50045 ,2019-04-10
2577,nj, 48513 ,2019-04-10
2578,cs, 7531 ,2019-04-10
2579,cd, 81543 ,2019-04-11
2580,wh, 75236 ,2019-04-11
2581,cq, 67349 ,2019-04-11
2582,bj, 61279 ,2019-04-11
2583,sz, 40475 ,2019-04-11
2584,sh, 53942 ,2019-04-11
2585,gz, 41015 ,2019-04-11
2586,hz, 32926 ,2019-04-11
2587,lf, 4031 ,2019-04-11
2588,xm, 12771 ,2019-04-11
2589,zz, 60637 ,2019-04-11
2590,hf, 50287 ,2019-04-11
2591,nj, 48772 ,2019-04-11
2592,cs, 7575 ,2019-04-11
2593,cd, 81585 ,2019-04-12
2594,wh, 75424 ,2019-04-12
2595,cq, 67564 ,2019-04-12
2596,bj, 61509 ,2019-04-12
2597,sz, 40796 ,2019-04-12
2598,sh, 54072 ,2019-04-12
2599,gz, 41190 ,2019-04-12
2600,hz, 32992 ,2019-04-12
2601,lf, 4068 ,2019-04-12
2602,xm, 12800 ,2019-04-12
2603,zz, 60719 ,2019-04-12
2604,hf, 50505 ,2019-04-12
2605,nj, 48902 ,2019-04-12
2606,cs, 7623 ,2019-04-12
2607,cd, 82420 ,2019-04-14
2608,wh, 75979 ,2019-04-14
2609,cq, 69351 ,2019-04-14
2610,bj, 61977 ,2019-04-14
2611,sz, 41371 ,2019-04-14
2612,sh, 54749 ,2019-04-14
2613,gz, 41846 ,2019-04-14
2614,hz, 33161 ,2019-04-14
2615,lf, 4205 ,2019-04-14
2616,xm, 13022 ,2019-04-14
2617,zz, 61417 ,2019-04-14
2618,hf, 50915 ,2019-04-14
2619,nj, 49422 ,2019-04-14
2620,cs, 7709 ,2019-04-14
2621,cd, 82510 ,2019-04-15
